dataset,pair,delta,epsilon,fraction,N,runs,gap,cohort
hellaswag,6,-0.13955524426545202,0.02,0.02532539543570887,5711,30,0.11955524426545201,random
hellaswag,7,-0.12554718963403902,0.02,0.02795774236852857,5711,30,0.10554718963403902,random
hellaswag,8,-0.021362283312904,0.02,0.9768983832370279,5711,30,0.0013622833129040002,random
hellaswag,9,0.0031518122920670003,0.02,0.24322068522733903,5711,30,0.016848187707933,random
hellaswag,10,-0.024689196287865003,0.02,0.7595867623883733,5711,30,0.004689196287865002,random
hellaswag,11,0.029066713360182003,0.02,0.6950504873635673,5711,30,0.009066713360182003,random
hellaswag,12,-0.06863946769392401,0.02,0.10560322185256524,5711,30,0.04863946769392401,random
hellaswag,13,0.09140255646997,0.02,0.041306251094379264,5711,30,0.07140255646997,random
hellaswag,14,0.10383470495534901,0.02,0.04052413471079204,5711,30,0.083834704955349,random
hellaswag,15,0.05077919803887201,0.02,0.2013074184322652,5711,30,0.030779198038872007,random
hellaswag,16,0.08982665032393601,0.02,0.04265452635265277,5711,30,0.06982665032393601,random
