dataset,method,truth,runs,fraction,error_rate
gsm8k,serfling_spending,B,1260,0.3977661100172586,0.0
gsm8k,serfling_spending,E,420,0.9887989499015533,0.0
hellaswag,completion,A,1260,0.948127673412212,0.0
hellaswag,completion,B,1290,0.951836181773512,0.0
hellaswag,completion,E,450,0.9882768147240218,0.0
hellaswag,eb_grid,A,1260,0.2848497608347022,0.0
hellaswag,eb_grid,B,1290,0.3293953325487737,0.0
hellaswag,eb_grid,E,450,0.6315546995077724,0.0
hellaswag,eb_predictable,A,1260,0.27061254665877327,0.0
hellaswag,eb_predictable,B,1290,0.31841584104658627,0.0
hellaswag,eb_predictable,E,450,0.6393190528998619,0.0
hellaswag,fixed_plugin_0.1,A,1260,0.1001575906146034,0.07063492063492063
hellaswag,fixed_plugin_0.1,B,1290,0.1001575906146034,0.09069767441860466
hellaswag,fixed_plugin_0.1,E,450,0.1001575906146034,0.19333333333333333
hellaswag,fixed_plugin_0.25,A,1260,0.2500437751707232,0.046825396825396826
hellaswag,fixed_plugin_0.25,B,1290,0.2500437751707232,0.04961240310077519
hellaswag,fixed_plugin_0.25,E,450,0.2500437751707232,0.09111111111111111
hellaswag,fixed_plugin_0.5,A,1260,0.5000875503414464,0.030952380952380953
hellaswag,fixed_plugin_0.5,B,1290,0.5000875503414464,0.03255813953488372
hellaswag,fixed_plugin_0.5,E,450,0.5000875503414464,0.05555555555555555
hellaswag,hoeffding_grid,A,1260,0.5148741081677519,0.0
hellaswag,hoeffding_grid,B,1290,0.5635999614507023,0.0
hellaswag,hoeffding_grid,E,450,0.9617008112998306,0.0
hellaswag,normal_peeking,A,1260,0.085014021951511,0.0865079365079365
hellaswag,normal_peeking,B,1290,0.08339706183768845,0.14108527131782947
hellaswag,normal_peeking,E,450,0.1865604389190451,0.08444444444444445
hellaswag,separate_arm,A,1260,0.47713365740856545,0.0
hellaswag,separate_arm,B,1290,0.5334240056249397,0.0
hellaswag,separate_arm,E,450,0.9377236911223954,0.0
hellaswag,serfling_spending,A,1260,0.5994273095919043,0.0
hellaswag,serfling_spending,B,1290,0.627445199594418,0.0
hellaswag,serfling_spending,E,450,0.9827475242709002,0.0
mmlu-pro,completion,A,1170,0.8807994919530824,0.0
mmlu-pro,completion,B,1560,0.868245309516503,0.0
mmlu-pro,completion,E,270,0.9886961928684004,0.0
mmlu-pro,eb_grid,A,1170,0.11224917314511729,0.0
mmlu-pro,eb_grid,B,1560,0.09262948376977631,0.0
mmlu-pro,eb_grid,E,270,0.6373639430654059,0.0
mmlu-pro,eb_predictable,A,1170,0.11325681373886161,0.0
mmlu-pro,eb_predictable,B,1560,0.09366411790780142,0.0
mmlu-pro,eb_predictable,E,270,0.7447630393026005,0.0
mmlu-pro,fixed_plugin_0.1,A,1170,0.10006648936170212,0.03076923076923077
mmlu-pro,fixed_plugin_0.1,B,1560,0.10006648936170212,0.023717948717948717
