case,N,q,gap,delta,epsilon,variance,method,runs,fraction,errors,error_upper
N1000_q0.3_o-0.02,1000,0.30000000000000004,0.02,0.0,0.02,0.30000000000000004,planned_gaussian,300,0.9805166666666666,6,0.0430210826735169
N1000_q0.3_o0,1000,0.30000000000000004,0.0,0.02,0.02,0.29960000000000003,direct_betting,300,0.9913166666666666,3,0.028944511255692605
N1000_q0.3_o0,1000,0.30000000000000004,0.0,0.02,0.02,0.29960000000000003,eb_grid,300,1.0,0,0.012220974694293552
N1000_q0.3_o0,1000,0.30000000000000004,0.0,0.02,0.02,0.29960000000000003,planned_gaussian,300,0.9692,10,0.0604453222012656
N1000_q0.3_o0.002,1000,0.30000000000000004,0.001999999999999,0.022,0.02,0.299516,direct_betting,300,0.99716,0,0.012220974694293552
N1000_q0.3_o0.002,1000,0.30000000000000004,0.001999999999999,0.022,0.02,0.299516,eb_grid,300,0.9989266666666666,0,0.012220974694293552
N1000_q0.3_o0.002,1000,0.30000000000000004,0.001999999999999,0.022,0.02,0.299516,planned_gaussian,300,0.9774400000000001,1,0.018431252048067885
N1000_q0.3_o0.004,1000,0.30000000000000004,0.004,0.024,0.02,0.29942399999999997,direct_betting,300,0.98685,4,0.03378489626191785
N1000_q0.3_o0.004,1000,0.30000000000000004,0.004,0.024,0.02,0.29942399999999997,eb_grid,300,0.9968833333333333,0,0.012220974694293552
N1000_q0.3_o0.004,1000,0.30000000000000004,0.004,0.024,0.02,0.29942399999999997,planned_gaussian,300,0.9766366666666666,1,0.018431252048067885
N1000_q0.3_o0.01,1000,0.30000000000000004,0.009999999999999001,0.03,0.02,0.29909999999999903,direct_betting,300,0.9640799999999999,0,0.012220974694293552
N1000_q0.3_o0.01,1000,0.30000000000000004,0.009999999999999001,0.03,0.02,0.29909999999999903,eb_grid,300,0.98689,0,0.012220974694293552
N1000_q0.3_o0.01,1000,0.30000000000000004,0.009999999999999001,0.03,0.02,0.29909999999999903,planned_gaussian,300,0.9564,0,0.012220974694293552
N1000_q0.3_o0.02,1000,0.30000000000000004,0.02,0.04,0.02,0.2984,direct_betting,300,0.8568833333333333,0,0.012220974694293552
N1000_q0.3_o0.02,1000,0.30000000000000004,0.02,0.04,0.02,0.2984,eb_grid,300,0.9423366666666667,0,0.012220974694293552
N1000_q0.3_o0.02,1000,0.30000000000000004,0.02,0.04,0.02,0.2984,planned_gaussian,300,0.8726766666666667,2,0.02387349757217365
N1000_q0.3_o0.04,1000,0.30000000000000004,0.039999999999999,0.06,0.02,0.296399999999999,direct_betting,300,0.6106833333333334,0,0.012220974694293552
N1000_q0.3_o0.04,1000,0.30000000000000004,0.039999999999999,0.06,0.02,0.296399999999999,eb_grid,300,0.74578,0,0.012220974694293552
N1000_q0.3_o0.04,1000,0.30000000000000004,0.039999999999999,0.06,0.02,0.296399999999999,planned_gaussian,300,0.6432366666666667,0,0.012220974694293552
N1000_q0.8_o-0.002,1000,0.8,0.002,0.018000000000000002,0.02,0.799675999999999,direct_betting,300,0.9793299999999999,7,0.047482565029781855
