case,N,q,gap,delta,epsilon,variance,method,runs,fraction,errors,error_upper
constant_N1000_b0.04,1000,0.0,0.02,0.04,0.02,0.0,eb_grid,300,0.515,0,0.012220974694293552
constant_N1000_b0.04,1000,0.0,0.02,0.04,0.02,0.0,planned_gaussian,300,0.02,0,0.012220974694293552
constant_N5000_b0.0,5000,0.0,0.02,0.0,0.02,0.0,direct_betting,300,0.1282,0,0.012220974694293552
constant_N5000_b0.0,5000,0.0,0.02,0.0,0.02,0.0,eb_grid,300,0.1344,0,0.012220974694293552
constant_N5000_b0.0,5000,0.0,0.02,0.0,0.02,0.0,planned_gaussian,300,0.004,0,0.012220974694293552
constant_N5000_b0.016,5000,0.0,0.004,0.016,0.02,1.2037062152420219e-35,direct_betting,300,0.49520000000000003,0,0.012220974694293552
constant_N5000_b0.016,5000,0.0,0.004,0.016,0.02,1.2037062152420219e-35,eb_grid,300,0.514,0,0.012220974694293552
constant_N5000_b0.016,5000,0.0,0.004,0.016,0.02,1.2037062152420219e-35,planned_gaussian,300,0.004,0,0.012220974694293552
constant_N5000_b0.018,5000,0.0,0.002,0.018000000000000002,0.02,0.0,direct_betting,300,0.745,0,0.012220974694293552
constant_N5000_b0.018,5000,0.0,0.002,0.018000000000000002,0.02,0.0,eb_grid,300,0.7638,0,0.012220974694293552
constant_N5000_b0.018,5000,0.0,0.002,0.018000000000000002,0.02,0.0,planned_gaussian,300,0.004,0,0.012220974694293552
constant_N5000_b0.02,5000,0.0,0.0,0.02,0.02,0.0,direct_betting,300,1.0,0,0.012220974694293552
constant_N5000_b0.02,5000,0.0,0.0,0.02,0.02,0.0,eb_grid,300,1.0,0,0.012220974694293552
constant_N5000_b0.02,5000,0.0,0.0,0.02,0.02,0.0,planned_gaussian,300,0.009,300,1.0
constant_N5000_b0.022,5000,0.0,0.001999999999999,0.022,0.02,0.0,direct_betting,300,0.745,0,0.012220974694293552
constant_N5000_b0.022,5000,0.0,0.001999999999999,0.022,0.02,0.0,eb_grid,300,0.7638,0,0.012220974694293552
constant_N5000_b0.022,5000,0.0,0.001999999999999,0.022,0.02,0.0,planned_gaussian,300,0.004,0,0.012220974694293552
constant_N5000_b0.024,5000,0.0,0.004,0.024,0.02,0.0,direct_betting,300,0.49520000000000003,0,0.012220974694293552
constant_N5000_b0.024,5000,0.0,0.004,0.024,0.02,0.0,eb_grid,300,0.514,0,0.012220974694293552
constant_N5000_b0.024,5000,0.0,0.004,0.024,0.02,0.0,planned_gaussian,300,0.004,0,0.012220974694293552
constant_N5000_b0.04,5000,0.0,0.02,0.04,0.02,0.0,direct_betting,300,0.1282,0,0.012220974694293552
constant_N5000_b0.04,5000,0.0,0.02,0.04,0.02,0.0,eb_grid,300,0.1344,0,0.012220974694293552
constant_N5000_b0.04,5000,0.0,0.02,0.04,0.02,0.0,planned_gaussian,300,0.004,0,0.012220974694293552
rare_N1000,1000,0.001,0.0005,0.001,0.0005,0.0009989999999999999,direct_betting,300,1.0,0,0.012220974694293552
rare_N1000,1000,0.001,0.0005,0.001,0.0005,0.0009989999999999999,eb_grid,300,1.0,0,0.012220974694293552
rare_N1000,1000,0.001,0.0005,0.001,0.0005,0.0009989999999999999,planned_gaussian,300,0.04613333333333333,292,0.9884184322456661
rare_N5000,5000,0.0002,0.0001,0.0002,0.0001,0.00019996,direct_betting,300,1.0,0,0.012220974694293552
rare_N5000,5000,0.0002,0.0001,0.0002,0.0001,0.00019996,eb_grid,300,1.0,0,0.012220974694293552
rare_N5000,5000,0.0002,0.0001,0.0002,0.0001,0.00019996,planned_gaussian,300,0.007320000000000001,299,0.9999156108676822
